teacher_name,no,text,date
정승제 선생님,4192,수능을 준비하며..,2025.01.15
정승제 선생님,4191,생선님을 중3 때 알았더라면…,2025.01.15
정승제 선생님,4190,믿듣정,2025.01.14
정승제 선생님,4189,정승제가 갓승제인 이유,2025.01.14
정승제 선생님,4188,수강 후기,2025.01.14
정승제 선생님,4187,공통수학1 선생님,2025.01.13
정승제 선생님,4186,완벽한 강의,2025.01.13
정승제 선생님,4185,빈 개념 채우기,2025.01.13
정승제 선생님,4184,꽤 많은 도움이 됩니다,2025.01.11
정승제 선생님,4183,역시 갓승제,2025.01.11
정승제 선생님,4182,만족스러운 강의였습니다,2025.01.11
정승제 선생님,4181,언제 어디서든 집중해서 들을 수 있는 강의,2025.01.10
정승제 선생님,4180,1년동안,2025.01.10
정승제 선생님,4179,여러분이 도형에서 닮음을 못 찾는 이유?,2025.01.09
정승제 선생님,4178,chatgpt보다 빠른 질문 답변,2025.01.09
정승제 선생님,4192,수능을 준비하며..,2025.01.15
정승제 선생님,4191,생선님을 중3 때 알았더라면…,2025.01.15
정승제 선생님,4190,믿듣정,2025.01.14
정승제 선생님,4189,정승제가 갓승제인 이유,2025.01.14
정승제 선생님,4188,수강 후기,2025.01.14
정승제 선생님,4187,공통수학1 선생님,2025.01.13
정승제 선생님,4186,완벽한 강의,2025.01.13
정승제 선생님,4185,빈 개념 채우기,2025.01.13
정승제 선생님,4184,꽤 많은 도움이 됩니다,2025.01.11
정승제 선생님,4183,역시 갓승제,2025.01.11
정승제 선생님,4182,만족스러운 강의였습니다,2025.01.11
정승제 선생님,4181,언제 어디서든 집중해서 들을 수 있는 강의,2025.01.10
정승제 선생님,4180,1년동안,2025.01.10
정승제 선생님,4179,여러분이 도형에서 닮음을 못 찾는 이유?,2025.01.09
정승제 선생님,4178,chatgpt보다 빠른 질문 답변,2025.01.09
정승제 선생님,4177,생선님 너무 완벽합니다,2025.01.09
정승제 선생님,4176,정말 좋은데요?,2025.01.08
정승제 선생님,4175,수강 후기,2025.01.08
정승제 선생님,4174,수학의 신,2025.01.08
정승제 선생님,4173,깔끔한 개념 설명,2025.01.07
정승제 선생님,4172,재밌다,2025.01.07
정승제 선생님,4171,기초도 모르면?,2025.01.07
